phrase,phrase_puj,phrase_simple_puj,freq,mandarin,english,source,tag
大菜,tuā-tshài,tua7-tshai3,k10,大菜,cabbage a large kind,汕頭話讀本,
大薯,tuā-tsṳ̂,tua7-tsur5,k10,大薯,yam,汕頭話讀本,
大財副,tuā-tshái-hù,tua7-tshai2-hu3,k20,首席會計,a chief clerk,汕頭話讀本,職業|經商
大銃,tuā-chhèng,tua7-chheng3,k10,大砲,cannon|gun large,汕頭話讀本,戰爭
大門,tuā-mn̂g,tua7-mng5,k10,大門,gate,汕頭話讀本,
大頭腦,tuā-thâu-ló,tua7-thau5-lo2,k00,大官員,,考釋,政治
大頷奎,tūn-ãm-kui,tun7-am6-kui1,k00,甲狀腺腫,goitre,汕頭話讀本,健康
大風,tuā-huang,tua7-huang1,k10,大風,gale|storm,汕頭話讀本,
大黃,tuā-n̂g,tua7-ng5,k10,大黃,rhubarb,汕頭話讀本,
天下,thiⁿ-ẽ,thinn1-e6,k10,天下,world|the world,汕頭話讀本,
天主,thien-tsú,thien1-tsu2,k10,天主,god,汕頭話讀本,
天主教,thien-tsú-kà,thien1-tsu2-ka3,k00,天主教,christians r. catholics,汕頭話讀本,宗教
天光,thiⁿ-kng,thinn1-kng1,k10,天亮,"dawn|daybreak, dawn",汕頭話讀本,
天堂,thiⁿ-tn̂g,thinn1-tng5,k10,天堂,heaven,汕頭話讀本,
天師,thiⁿ-sài,thinn1-sai3,k10,天師,angel,汕頭話讀本,
天平,thien-phêng,thien1-pheng5,k10,天平,a small scale,汕頭話讀本,
天文,thien-bûn,thien1-bun5,k10,天文,astronomy,汕頭話讀本,
天時,thiⁿ-sî,thinn1-si5,k00,天氣,climate|weather,汕頭話讀本,天地
天時旱,thiⁿ-sí-uãⁿ,thinn1-si2-uann6,k10,天氣乾旱,drought,汕頭話讀本,
天狗,thien-káu,thien1-kau2,k10,天狗,dominoes,汕頭話讀本,
天生,thien-seⁿ,thien1-senn1,k10,天生,course,汕頭話讀本,
太子,thài-tsṳ́,thai3-tsur2,k10,太子,prince,汕頭話讀本,
太平,thài-phêng,thai3-pheng5,k10,太平,peace,汕頭話讀本,
太爺,thài-iâ,thai3-ia5,k10,太爺,your worship,汕頭話讀本,
太臣,tãi-chhin,tai6-chhin1,k10,太臣,statesman,汕頭話讀本,
夫人,hu-jîn,hu1-jin5,k10,夫人,lady wife of high mandarin,汕頭話讀本,
失信,sit-sìn,sit4-sin3,k10,失信,breach faith,汕頭話讀本,
失手,phiù-chhiú,phiu3-chhiu2,k10,失手,slip out of the hand,汕頭話讀本,
失約,sit-ieh,sit4-ieh4,k10,失約,covenant to break,汕頭話讀本,
失落,sit-lo̍h,sit4-loh8,k10,失落,lose,汕頭話讀本,
失足,thām-phiù,tham7-phiu3,k10,失足,slip,汕頭話讀本,
夾布,khoih-pòu,khoih4-pou3,k10,夾布,calender,汕頭話讀本,
夾書冊,kap-tsṳ-chheh,kap4-tsur1-chheh4,k10,綁書冊,bind book,汕頭話讀本,
夾板,kap-pán,kap4-pan2,k10,夾板,a sailing vessel,汕頭話讀本,
奇巧,khî-khá,khi5-kha2,k10,奇巧,curiaus|remarkable|wonderful,汕頭話讀本,
奇巧物,khî-khá-mu̍eh,khi5-kha2-mueh8,k10,奇珍異寶,curiosities,汕頭話讀本,起居|物件
奇異,khî-ĩ,khi5-i6,k10,驚奇,surprise,汕頭話讀本,人|情緒
奈,nãiⁿ,nainn6,k00,忍受,bear,汕頭話讀本,人|行動
奉教,hông-kà,hong5-ka3,k10,奉教,christians,汕頭話讀本,
奉養,hõng-iáng,hong6-iang2,k10,奉養,support the parents,汕頭話讀本,
奴才,nôuⁿ-tshâi,nounn5-tshai5,k10,奴才,slave,汕頭話讀本,
奶母,ni-bó,ni1-bo2,k10,奶媽,nurse,汕頭話讀本,
好了,hó--lō,ho2--lo7,k10,好了,that will do,汕頭話讀本,
好價,hó-kè,ho2-ke3,k10,好價錢,price rise in,汕頭話讀本,
好心,hó-sim,ho2-sim1,k10,好心,charitable|goodhearted,汕頭話讀本,
好是是,hó-sĩ-sĩ,ho2-si6-si6,k10,突然,suddenly,汕頭話讀本,
好睇,hó-thóiⁿ,ho2-thoinn2,k10,好看,beautiful|ornamental,汕頭話讀本,
好赫个儂,hàuⁿ-he̍hⁿ--kâi-nâng,haunn3-hehnn8--kai5-nang5,k10,花花公子,,汕頭話讀本,
好趁,hó-thàn,ho2-than3,k00,好賺,advantageous,汕頭話讀本,職業|經商
好過,hó--kùe,ho2--kue3,k10,好過,better,汕頭話讀本,
妥當,thó-tàng,tho2-tang3,k00,穩妥,safe,汕頭話讀本,入門
妻舅,chhi-kũ,chhi1-ku6,k10,妻舅,wife's brothers,汕頭話讀本,
姊妹囝,chí-mūe-kiáⁿ,chi2-mue7-kiann2,k10,姊妹,sisters,汕頭話讀本,
姐妹囝,ché-mūe-kiáⁿ,che2-mue7-kiann2,k10,姐妹,sisters,汕頭話讀本,
姑丈,kou-tiẽⁿ,kou1-tienn6,k10,姑丈,paternal aunt's husband,汕頭話讀本,
姦夫,kan-hu,kan1-hu1,k10,姦夫,paramour,汕頭話讀本,
姦淫,kan-îm,kan1-im5,k10,姦淫,adultery,汕頭話讀本,
姨丈,î-tiẽⁿ,i5-tienn6,k10,姨丈,maternal aunt's husband,汕頭話讀本,
姪女,tie̍t-nńg,tiet8-nng2,k10,姪女,brother's daughter,汕頭話讀本,
娶親,tshuā-chhin,tshua7-chhin1,k10,娶親,marry,汕頭話讀本,
娶走,tshuā-tsáu,tshua7-tsau2,k10,娶走,induce,汕頭話讀本,
娶𡚸,tshuā-bóu,tshua7-bou2,k10,娶老婆,marry,汕頭話讀本,
媒儂,bûe-nâng,bue5-nang5,k10,媒人,middleman,汕頭話讀本,
媽祖,má-tsóu,ma2-tsou2,k10,媽祖,goddess of sailors,汕頭話讀本,
嬭母,ni-bó,ni1-bo2,k10,奶媽,,考釋,人|稱呼
孔夫子,khóng-hu-tsṳ́,khong2-hu1-tsur2,k10,孔夫子,confucius,汕頭話讀本,
孔子,khóng-tsṳ́,khong2-tsur2,k10,孔子,confucius,汕頭話讀本,
孔雀,khóng-chhieh,khong2-chhieh4,k10,孔雀,peacock,汕頭話讀本,
字典,jī-tién,ji7-tien2,k10,字典,dictionary,汕頭話讀本,
字板,jī-póiⁿ,ji7-poinn2,k10,字板,type,汕頭話讀本,
字母,jī-bó,ji7-bo2,k10,字母,alphabet,汕頭話讀本,
字白,jî-pe̍h,ji5-peh8,k10,字白,placard,汕頭話讀本,
字號,jī-hō,ji7-ho7,k00,商標,chop,汕頭話讀本,職業|經商
孤老,ku-láu,ku1-lau2,k00,孤寡老人,,考釋,人|稱呼
孥囝,nôuⁿ-kiáⁿ,nounn5-kiann2,k00,孩子,boy|infant,考釋,人|稱呼
孥囝款,nôuⁿ-kiáⁿ-khuán,nounn5-kiann2-khuan2,k10,孩子氣,childish,汕頭話讀本,人|品評
孫婦,sun-pũ,sun1-pu6,k10,姪媳婦,nephew's wife,汕頭話讀本,
孬,mó,mo2,k00,不好,,汕頭話讀本,入門
孵雞囝,pū-koi-kiáⁿ,pu7-koi1-kiann2,k10,孵小雞,hatch,汕頭話讀本,
學古,o̍h-kóu,oh8-kou2,k10,談古,anecdote,汕頭話讀本,
學生,ha̍k-seng,hak8-seng1,k10,學生,pupil|scholar,汕頭話讀本,
學習,ha̍k-si̍p,hak8-sip8,k10,學習,study,汕頭話讀本,
守寡,siú-kuá,siu2-kua2,k10,守寡,widow,汕頭話讀本,
安慰,uaⁿ-ùe,uann1-ue3,k10,安慰,comfort,汕頭話讀本,
安更,an-keⁿ,an1-kenn1,k10,一更,first watch from 7 to 9 p.m,汕頭話讀本,
完糧,uân-niêⁿ,uan5-nienn5,k10,納稅,tax,汕頭話讀本,
官印,kuaⁿ-ìn,kuann1-in3,k10,官印,seal official,汕頭話讀本,
官府,kuaⁿ-hú,kuann1-hu2,k10,官府,mandarin,汕頭話讀本,
官服,kuaⁿ-ho̍k,kuann1-hok8,k10,官服,uniform,汕頭話讀本,
官正,kuaⁿ-chiàⁿ,kuann1-chiann3,k10,官正,just|straightforward,汕頭話讀本,
官衣,kuaⁿ-i,kuann1-i1,k10,官衣,uniform,汕頭話讀本,
官銜,kuaⁿ-ham,kuann1-ham1,k10,官銜,title,汕頭話讀本,
定着,tiāⁿ-tie̍h,tiann7-tieh8,k00,一定,certain|sure,汕頭話讀本,入門
定罪,tiāⁿ-tsũe,tiann7-tsue6,k10,定罪,condemn|convict to,汕頭話讀本,法律
定銀,tiāⁿ-ngṳ̂n,tiann7-ngurn5,k10,定金,earnest money,汕頭話讀本,職業|經商
客商,kheh-siang,kheh4-siang1,k00,商人,merchant,汕頭話讀本,職業|經商
客店,kheh-tiàm,kheh4-tiam3,k20,酒店,hotel,汕頭話讀本,起居|場所
宮廟,keng-biē,keng1-bie7,k10,宮廟,temple,汕頭話讀本,
宰相,tsái-siàng,tsai2-siang3,k10,宰相,prime minister,汕頭話讀本,
害了,hāi--lō,hai7--lo7,k10,害了,spoiled,汕頭話讀本,
家主,ke-tsú,ke1-tsu2,k10,一家之主,master,汕頭話讀本,
家事,ke-sṳ̄,ke1-sur7,k10,家業,estate general|property,汕頭話讀本,
家伙,ke-húe,ke1-hue2,k10,家伙,"tools|weapon|estate, (properties of all kinds",汕頭話讀本,
家信,ke-sìn,ke1-sin3,k00,家書,,汕頭話讀本,職業|經商
家內,ke-lãi,ke1-lai6,k10,家裏,domestic,汕頭話讀本,
家奴,ke-nouⁿ,ke1-nounn1,k10,家奴,servant domestic,汕頭話讀本,
家己,ka-kī,ka1-ki7,k00,自己,alone|lonely,,人|稱呼
家己儂,ka-kī-nâng,ka1-ki7-nang5,k00,自己人,,,人|稱呼
家業,ke-ngia̍p,ke1-ngiap8,k10,家業,estate general|property,汕頭話讀本,
家眷,ke-kuàn,ke1-kuan3,k10,家眷,family,汕頭話讀本,
家神,ke-sín,ke1-sin2,k10,祖先牌位,ancestral tablet,汕頭話讀本,
家私,ke-si,ke1-si1,k00,家具,furnitures,汕頭話讀本,起居|物件
家資,ke-tsṳ,ke1-tsur1,k10,家業,estate general,汕頭話讀本,
家長,ke-tiéⁿ,ke1-tienn2,k10,經理,manager,汕頭話讀本,職業|經商
容訴,iông-sù,iong5-su3,k10,容訴,statement allow to make,汕頭話讀本,
寄出買,kià-khṳ̀-bói,kia3-khur3-boi2,k10,訂購,"order, to, (goods",汕頭話讀本,
寒暑針,hân-sú-tsam,han5-su2-tsam1,k10,溫度計,thermometer,汕頭話讀本,天地
寒着,kuâⁿ--tie̍h,kuann5--tieh8,k10,凍到,to catch cold,汕頭話讀本,健康
寒藥,kuâⁿ-ie̍h,kuann5-ieh8,k10,奎寧,quinine,汕頭話讀本,
寡个,kua-kâi,kua1-kai5,k10,幾個,several,汕頭話讀本,
寡婦,kuá-hũ,kua2-hu6,k10,寡婦,widow,汕頭話讀本,
實心,si̍t-sim,sit8-sim1,k10,真心,sincere,汕頭話讀本,
實意,si̍t-ì,sit8-i3,k10,真意,sincere,汕頭話讀本,
審問,sím-mn̄g,sim2-mng7,k10,審問,investigate,汕頭話讀本,
寫字,siá-jī,sia2-ji7,k10,寫字,write,汕頭話讀本,
寫字床,siá-jī-tshn̂g,sia2-ji7-tshng5,k10,寫字桌,,汕頭話讀本,
寫字牀,siá-jī-tshn̂g,sia2-ji7-tshng5,k10,寫字桌,,汕頭話讀本,教育
寬埕,khuaⁿ-tiâⁿ,khuann1-tiann5,k00,廣場,,汕頭話讀本,起居|場所
寶貝,pó-pùe,po2-pue3,k10,寶貝,preciaus,汕頭話讀本,
寸尺,tshùn-chhieh,tshun3-chhieh4,k10,尺寸,measure,汕頭話讀本,
寸進,tshùn-chìn,tshun3-chin3,k00,進步,,考釋,教育
封皮,huang-phûe,huang1-phue5,k10,信封,address,汕頭話讀本,
封筒,huang-tâng,huang1-tang5,k10,信筒,envelope,汕頭話讀本,
射箭,siã-chîⁿ,sia6-chinn5,k10,射箭,arrow to shoot,汕頭話讀本,
將來,chiang-lâi,chiang1-lai5,k10,將來,future,汕頭話讀本,
將軍,chiàng-kun,chiang3-kun1,k10,將軍,general,汕頭話讀本,
專心,tsuan-sim,tsuan1-sim1,k10,專心,attentive,汕頭話讀本,
尊貴,tsun-kui,tsun1-kui1,k10,尊貴,noble,汕頭話讀本,
對單,tùi-tuaⁿ,tui3-tuann1,k10,匯票,draft,汕頭話讀本,職業|經商
對敵,tùi-te̍k,tui3-tek8,k10,對敵,oppose,汕頭話讀本,
對聯,tùi-liên,tui3-lien5,k10,對聯,"scroll, antithetical",汕頭話讀本,
對面,tùi-mīn,tui3-min7,k10,對面,opposite,汕頭話讀本,
對頭,tùi-thâu,tui3-thau5,k10,對頭,oppose,汕頭話讀本,
小可,sié-khuá,sie2-khua2,k10,細微,slight,汕頭話讀本,
小可事,sié-khuá-sṳ̄,sie2-khua2-sur7,k10,小事,trifling,汕頭話讀本,
小帽,sié-bō,sie2-bo7,k10,小帽子,cap|a cap,汕頭話讀本,
小影,siáu-iáⁿ,siau2-iann2,k10,照片,photograph,汕頭話讀本,起居|物件
小郎,sié-nn̂g,sie2-nng5,k20,小叔子,,考釋,人|稱呼
少,chié,chie2,k00,少,scarce|less,汕頭話讀本,入門
少年,siàu-nî,siau3-ni5,k10,少年,young of man,汕頭話讀本,
少有,chié-ũ,chie2-u6,k10,少有,rare,汕頭話讀本,
少禮,siáu-lí,siau2-li2,k00,羞耻,shame|ashamed,汕頭話讀本,人|品評
尙且,siãng-chhiáⁿ,siang6-chhiann2,k10,尙且,besides,汕頭話讀本,
尪囝,ang-kiáⁿ,ang1-kiann2,k10,圖畫,doll|pictures,汕頭話讀本,教育
就是,chiũ-sĩ,chiu6-si6,k10,就是,that is it,汕頭話讀本,
尻脊,ka-chiah,ka1-chiah4,k00,脊背,back,考釋,人|身體
尼姑婆,nî-kou-phuâ,ni5-kou1-phua5,k10,尼姑,priestess,汕頭話讀本,
尾尾,búe-búe,bue2-bue2,k10,條條,last,汕頭話讀本,
尾蝶,búe-ia̍h,bue2-iah8,k10,蝴蝶,butterfly,汕頭話讀本,
尿壺,jiē-hû,jie7-hu5,k10,尿壺,a chamber utensil,汕頭話讀本,
尿脬,jiē-pha,jie7-pha1,k00,膀胱,bladder,汕頭話讀本,人|身體
屁股爿,kha-tshng-póiⁿ,kha1-tshng1-poinn2,k10,屁股邊,buttock,汕頭話讀本,
屎溝,sái-kau,sai2-kau1,k10,下水道,ditch|drain,汕頭話讀本,
屎鉢,sái-puah,sai2-puah4,k20,屎盆,do,汕頭話讀本,起居|物件
屐,kia̍h,kiah8,k20,木屐,clogs,考釋,打扮
展,tién,tien2,k00,炫耀,,,人|行動
山儂,suaⁿ-nâng,suann1-nang5,k10,山人,savage|orangoutang,汕頭話讀本,
山內,suaⁿ-lãi,suann1-lai6,k10,山裏,forest,汕頭話讀本,
山坑,suaⁿ-kheⁿ,suann1-khenn1,k10,山坑,brook,汕頭話讀本,
山東梨,suaⁿ-tang-lâi,suann1-tang1-lai5,k10,山東梨,pear shantung,汕頭話讀本,
山水,suaⁿ-tsúi,suann1-tsui2,k10,山水,landscape,汕頭話讀本,
山溝,suaⁿ-kau,suann1-kau1,k10,山溝,stream,汕頭話讀本,
山空,suaⁿ-khang,suann1-khang1,k10,山洞,cave,汕頭話讀本,
山羊,suaⁿ-iêⁿ,suann1-ienn5,k10,山羊,goat,汕頭話讀本,
山雞,suaⁿ-koi,suann1-koi1,k10,山雞,pheasant,汕頭話讀本,
岳母,nga̍k-bó,ngak8-bo2,k10,岳母,husband's motherinlaw,汕頭話讀本,
岳父,nga̍k-pẽ,ngak8-pe6,k10,岳父,husband's fatherinlaw,汕頭話讀本,
峇厘,bā-lî,ba7-li5,k10,船艙,cabin|a cabin,汕頭話讀本,
峇囝,bā-kiáⁿ,ba7-kiann2,k10,鱷魚,crocodile,汕頭話讀本,
崎嶇,khi-khu,khi1-khu1,k10,崎嶇,uneven,汕頭話讀本,
崩堤,pang-toi,pang1-toi1,k10,崩堤,inundation,汕頭話讀本,
嵁硈,khâm-khia̍t,kham5-khiat8,k10,坎坷,,,入門
嶁岣,lóu-kóu,lou2-kou2,k10,侏儒,dwarf,汕頭話讀本,
巡,sûn,sun5,k00,檢查,examine|visit,汕頭話讀本,人|行動
巡檢司,thôu-phóu-si,thou5-phou2-si1,k10,巡檢司,magistrate town,汕頭話讀本,
工課,khang-khùe,khang1-khue3,k10,工作,work,汕頭話讀本,
工資,kang-tsṳ,kang1-tsur1,k10,工資,salary,汕頭話讀本,
工錢,kang-chîⁿ,kang1-chinn5,k10,工資,wages,汕頭話讀本,職業
差不多,tsha-put-to,tsha1-put4-to1,k10,差不多,almost|about,汕頭話讀本,
差役,chhe-hia̍h,chhe1-hiah8,k10,差役,policeman,汕頭話讀本,
差毋多,tsha-m̃-to,tsha1-m6-to1,k10,差不多,almost,汕頭話讀本,
差錯,tsha-tshò,tsha1-tsho3,k10,差錯,mistake,汕頭話讀本,
巷囝,hāng-kiáⁿ,hang7-kiann2,k10,巷字,lane,汕頭話讀本,
市,chhĩ,chhi6,k00,市場,a market,汕頭話讀本,起居|場所
布尺,pòu-chhieh,pou3-chhieh4,k10,布尺,"a tapeline, or cloth measure",汕頭話讀本,
布帆,pòu-phâng,pou3-phang5,k10,布帆,tent,汕頭話讀本,
布疋,pòu-phit,pou3-phit4,k00,布匹,piecegoods,汕頭話讀本,職業|經商
布碎,pòu-chhùi,pou3-chhui3,k00,抹布,rag,汕頭話讀本,起居|物件
布袋,pòu-tō,pou3-to7,k10,布袋,bag,汕頭話讀本,
布路,pòu-lōu,pou3-lou7,k00,布匹,piecegoods,汕頭話讀本,職業|經商
帆布,phâng-pòu,phang5-pou3,k10,帆布,canvas,汕頭話讀本,
帖,thiap,thiap4,k00,邀請函,card,汕頭話讀本,活動
帶水,tshuā-tsúi,tshua7-tsui2,k20,領港員,a pilot,汕頭話讀本,職業|行船
常常,siêⁿ-siêⁿ,sienn5-sienn5,k10,常常,commonly|constantly|usual,汕頭話讀本,
帽吊,bō-tiàu,bo7-tiau3,k10,帽架,a hatstand,汕頭話讀本,起居|物件
帽囝,bō-kiáⁿ,bo7-kiann2,k10,帽子,cap|a cap,汕頭話讀本,
帽珠,bō-tsu,bo7-tsu1,k10,帽珠,button on a cap,汕頭話讀本,
干証,kan-chèng,kan1-cheng3,k10,干証,witness,汕頭話讀本,
平價,phêng-kè,pheng5-ke3,k10,平價,price fair,汕頭話讀本,
平和,phêng-huâ,pheng5-hua5,k00,和平,peace with enemy,汕頭話讀本,戰爭
平安,phêng-an,pheng5-an1,k10,平安,peace,汕頭話讀本,
平常,phêng-siêⁿ,pheng5-sienn5,k10,平常,common,汕頭話讀本,
平擔,pêⁿ-taⁿ,penn5-tann1,k10,扁擔,pole,汕頭話讀本,
平樣,pêⁿ-iēⁿ,penn5-ienn7,k10,一樣,correspond|equal|same,汕頭話讀本,入門
年冬,ni-tang,ni1-tang1,k10,年頭,crop,汕頭話讀本,
年年,nî-ni,ni5-ni1,k10,年年,yearly,汕頭話讀本,
幼,iùⁿ,iunn3,k00,精緻,fine,汕頭話讀本,入門
幼幼,iùⁿ-iùⁿ,iunn3-iunn3,k10,幼小,minute small,汕頭話讀本,
庇佑,pì-iũ,pi3-iu6,k10,保佑,protect,汕頭話讀本,
床布,tshn̂g-pòu,tshng5-pou3,k10,桌布,table cloth,汕頭話讀本,
床櫃,tshn̂g-kūiⁿ,tshng5-kuinn7,k10,床櫃,a chinese writing desk,汕頭話讀本,
床頂,tshn̂g-téng,tshng5-teng2,k10,桌上,,汕頭話讀本,
底一个,tî-che̍k-kâi,ti5-chek8-kai5,k10,哪一個,which,汕頭話讀本,
底个,tî-kâi,ti5-kai5,k00,哪個,which|what|what is it,汕頭話讀本,入門
底儂,tî-nâng,ti5-nang5,k00,誰,,汕頭話讀本,入門
底塊,tî-kò,ti5-ko3,k00,哪裏,where,汕頭話讀本,入門
底塊夥,tî-kò húe,ti5-ko3 hue2,k00,哪裏人,,,入門
底子,tói-tsṳ́,toi2-tsur2,k10,原件,mortgagor original,汕頭話讀本,職業|經商
底時,tî-sî,ti5-si5,k10,底時,when,汕頭話讀本,
底當時,tiang-sî,tiang1-si5,k00,什麼時候,when,汕頭話讀本,入門
底誰,tî-tiâng,ti5-tiang5,k00,誰,who,,入門
底誰个,tî-tiâng-kâi,ti5-tiang5-kai5,k10,誰的,whose,汕頭話讀本,
店舖,tiàm-phòu,tiam3-phou3,k10,店舖,hotel,汕頭話讀本,
府太爺,hú-thài-iâ,hu2-thai3-ia5,k10,府太爺,prefect,汕頭話讀本,
庫房,khòu-pâng,khou3-pang5,k10,庫房,treasury,汕頭話讀本,
廁缸,chhè-kng,chhe3-kng1,k10,便池,privy,汕頭話讀本,
廢掉,hùi-tiàu,hui3-tiau3,k10,廢掉,abolish,汕頭話讀本,
延遲,êng-ti,eng5-ti1,k00,推遲,delay,汕頭話讀本,入門
弓蕉,keng-chie,keng1-chie1,k00,香蕉,,汕頭話讀本,植物|蔬菓
引荐,ín-chìn,in2-chin3,k00,推薦,introduce|recommend,汕頭話讀本,人|行動
引誘,ín-iú,in2-iu2,k10,引誘,tempt,汕頭話讀本,
弟子,tĩ-tsṳ́,ti6-tsur2,k10,弟子,pupil,汕頭話讀本,
弦線,hîⁿ-suàⁿ,hinn5-suann3,k10,弦,chord,汕頭話讀本,
彷似,huáng-sṳ̃,huang2-sur6,k10,彷似,like,汕頭話讀本,
彼,hṳ́,hur2,k00,那,,汕頭話讀本,入門
彼些个,hṳ́-chuàⁿ-kâi,hur2-chuann3-kai5,k10,那些個,those,汕頭話讀本,
彼底當時,hṳ́-tiang-sî,hur2-tiang1-si5,k10,那時,,汕頭話讀本,
彼樣生,hièⁿ-seⁿ,hienn3-senn1,k10,那樣,like that,汕頭話讀本,
後日,ãu--ji̍t,au6--jit8,k10,後天,day after tomorrow,汕頭話讀本,時日
後父,ãu-pẽ,au6-pe6,k10,繼父,father step,汕頭話讀本,
後生,hãu-seⁿ,hau6-senn1,k00,年輕,young of man,考釋,人|品評
後裔,ãu-ĩ,au6-i6,k10,後裔,descendant|heir|posterity,汕頭話讀本,
得利,tit-lĩ,tit4-li6,k10,得利,profit,汕頭話讀本,
得坐着,tit-tsõ--tie̍h,tit4-tso6--tieh8,k10,得罪,offend,汕頭話讀本,
得意,tit-ì,tit4-i3,k10,得意,succeed,汕頭話讀本,
得着,tit--tie̍h,tit4--tieh8,k10,得到,get,汕頭話讀本,
得罪,tit-tsũe,tit4-tsue6,k10,得罪,offend,汕頭話讀本,
得罪着儂,tit-tsũe--tie̍h-nâng,tit4-tsue6--tieh8-nang5,k10,得罪了人,,汕頭話讀本,
得飯,tit-pn̄g,tit4-png7,k10,依賴,rely,汕頭話讀本,
徛,khiã,khia6,k00,站,stand,汕頭話讀本,人|行動
徛在骹頭个儂,khiã-tõ-kha-thāu--kâi-nâng,khia6-to6-kha1-thau7--kai5-nang5,k10,旁觀者,,汕頭話讀本,
徛起,khiã-khí,khia6-khi2,k10,居住,reside|live,汕頭話讀本,
徛起來,khiã--khí-lâi,khia6--khi2-lai5,k10,站起來,stand up,汕頭話讀本,
從,tshông,tshong5,k00,從,from,汕頭話讀本,入門
復轉,ho̍k-tńg,hok8-tng2,k10,恢復,recover,汕頭話讀本,
心事,sim-sṳ̄,sim1-sur7,k10,心事,trick,汕頭話讀本,
心性,sim-sèⁿ,sim1-senn3,k00,脾氣,,考釋,人|情緒
心憧憧,sim-tông-tông,sim1-tong5-tong5,k10,心神不定,,考釋,人|情緒
心肝,sim-kuaⁿ,sim1-kuann1,k10,心,heart,汕頭話讀本,
心肝頭,sim-kuaⁿ-thâu,sim1-kuann1-thau5,k00,胸膛,breast|chest,汕頭話讀本,人|身體
忘恩,buâng-ṳn,buang5-urn1,k10,忘恩,ungrateful,汕頭話讀本,
忘約,buâng-ieh,buang5-ieh4,k10,違約,covenant to break,汕頭話讀本,
忠直,tong-ti̍t,tong1-tit8,k10,忠直,honest|straightforward,汕頭話讀本,
快活,khuàⁿ-ua̍h,khuann3-uah8,k00,歡快,comfortable|happy,汕頭話讀本,人|情緒
念路,liām-lōu,liam7-lou7,k00,抱怨,grumble,汕頭話讀本,人|行動
忽一下叫,huh--chē-kiè,huh4--che7-kie3,k10,突然,,汕頭話讀本,
怎呢,tsò-nî,tso3-ni5,k10,怎麼,why,汕頭話讀本,
怎呢食,tsò-nî-chia̍h,tso3-ni5-chiah8,k10,怎麼吃,how am I to take it,汕頭話讀本,
思量成,sṳ-niêⁿ-sêng,sur1-nienn5-seng5,k10,談成,agree,汕頭話讀本,
性情,sèⁿ-chhêng,senn3-chheng5,k10,性情,temper,汕頭話讀本,
恁,nín,nin2,k00,你們,you (plural.),汕頭話讀本,入門
恬恬,tiām-tiām,tiam7-tiam7,k00,靜靜,quiet|silent|stop,汕頭話讀本,入門
恭喜,kiong-hí,kiong1-hi2,k10,恭喜,congratulate,汕頭話讀本,
悽慘,chhi-tshám,chhi1-tsham2,k00,悲慘,miserable|miseable|misery,汕頭話讀本,人|品評
惜,sieh,sieh4,k00,愛,love,汕頭話讀本,人|行動
惡,ak,ak4,k00,邪惡,bad|evil|wicked,汕頭話讀本,人|品評
惡,lóu,lou2,k00,討厭,,汕頭話讀本,人|行動
惰,tuãⁿ,tuann6,k00,懶惰,idle|lazy,汕頭話讀本,人|品評
愈,zú,zu2,k00,越,,汕頭話讀本,入門
愈不可,zú-m̃-mó,zu2-m6-mo2,k10,越來越不好,,汕頭話讀本,
愈好,zú-hó,zu2-ho2,k00,更好,better,汕頭話讀本,入門
愊,pek,pek4,k00,生氣,,考釋,人|情緒
意思,ì-sṳ̄,i3-sur7,k10,意思,meaning,汕頭話讀本,
感恩,kám-ṳn,kam2-urn1,k10,感恩,grateful,汕頭話讀本,
感謝,kám-siā,kam2-sia7,k00,感謝,thank|thank you,汕頭話讀本,入門
愩,kòng,kong3,k00,蠢,crazy,汕頭話讀本,健康
慣勢,kùiⁿ-sìⁿ,kuinn3-sinn3,k10,習慣,habituated,汕頭話讀本,
慣習,kùiⁿ-sìⁿ,kuinn3-sinn3,k10,習慣,accustom,汕頭話讀本,
憑單,phêng-tuaⁿ,pheng5-tuann1,k10,證書,certificate,汕頭話讀本,職業|經商
憶得,it-tit,it4-tit4,k00,記得,remember,汕頭話讀本,人|行動
應,ìn,in3,k00,回答,answer,汕頭話讀本,人|行動
應承,ìn-sêng,in3-seng5,k00,承諾,promise,汕頭話讀本,人|行動
應該,eng-kai,eng1-kai1,k10,應該,necessary,汕頭話讀本,
應該得,eng-kai-tit,eng1-kai1-tit4,k10,應該得,entitled,汕頭話讀本,
戇,kông,kong5,k00,愚蠢,puzzled,考釋,人|品評
戇去,kông-khṳ̀,kong5-khur3,k10,暈了,bewildered,汕頭話讀本,
戒薰丸,kói-hun-îⁿ,koi2-hun1-inn5,k10,戒菸藥,“stopopium” pills,汕頭話讀本,
或者,pa-lak,pa1-lak4,k10,或者,perhaps,汕頭話讀本,
戥減,téng-siám,teng2-siam2,k10,稱少,to cheat in weighing,汕頭話讀本,
截,tso̍ih,tsoih8,k00,切,"cut|to cut into slices, as bread, beef &c",汕頭話讀本,飲食
戰羸,chièn-iâⁿ,chien3-iann5,k10,戰羸,defeat|victory,汕頭話讀本,
戰船,chièn-tsûn,chien3-tsun5,k00,戰艦,a war vessel,汕頭話讀本,戰爭
戰輸,chièn-su,chien3-su1,k10,戰輸,defeated|victory lose a,汕頭話讀本,
戲旦,hì-tuàⁿ,hi3-tuann3,k10,戲旦,actor,汕頭話讀本,
戲棚,hì-pêⁿ,hi3-penn5,k10,戲棚,stage,汕頭話讀本,
