teochew_puj_flat,teochew_puj,teochew,mandarin,en
chiou2 tshui3,chióu-tshùi,鳥喙,鳥喙,
chiou2 tshui3,chióu-tshùi,鳥嘴,鳥喙,
chip i3,chip-ì,執意,執意,
chiu iu5,chiu-iû,周遊,,
chiu khi5,chiu-khî,週期,,
chiu liu5,chiu-liû,週流,漫遊,
chiu muat8,chiu-mua̍t,週末,,
chiu2 cheng,chiú-cheng,酒鍾,酒鍾,
chiu2 chinn5,chiú-chîⁿ,酒錢,郵費,
chiu2 khek,chiú-khek,酒麴,,
chiu2 kui2,chiú-kúi,酒機,酒機,
chiu2 liam5,chiú-liâm,酒帘,,
chiu2 piann2,chiú-piáⁿ,酒餅,酒餅,
chiu2 pue,chiú-pue,酒杯,酒杯,
chiu2 tham5,chiú-thâm,酒罈,,
chiu3 tshua7,chiù-tshuā,咒誓,發誓,
chiu6 si6,chiũ-sĩ,就是,就是,
chua2 luan2 teng,chuá-luán-teng,紙輦燈,紙輦燈,
e6 hai5,ẽ-hâi,下頦,下巴,
e6 jit8,ẽ-ji̍t,下日,他日,
e6 kua3,ẽ-kuà,上旰,下午,
e6 kua3,ẽ-kuà,下旰,下午,
e6 tsua7,ẽ-tsuā,下次,下次,
e6 tsui2,ẽ-tsúi,下水,下水,
e7 e7,ē-ē,下下,次次,
ek8 pou3,e̍k-pòu,浴布,(洗澡用)毛巾,
eng kai,eng-kai,應該,應該,
eng kai tit,eng-kai-tit,應該得,應該得,
eng ko,eng-ko,鸚哥,鸚鵡,
eng po5,eng-pô,鸚婆,鸚婆,
eng teng5,eng-têng,煙塵,,
eng teng5,eng-têng,煙塵,煙塵,
eng5 ti,êng-ti,延遲,推遲,
eng7 chin6,ēng chĩn,用盡,,
gau5,gâu,𠢕,能幹,
gau5,gâu,賢,能幹,
gau5 a nienn5,gâu-a-niêⁿ,賢阿娘,天花,
gau5 nang5,gâu-nâng,賢儂,賢人,
gau5 nang5,gâu-nâng,賢人,賢人,
ge5 kang,gê-kang,蜈蚣,蜈蚣,
ge5 mng5,gê-mn̂g,衙門,衙門,
ge5 thau5 khi2,gê-thâu-khí,牙頭齒,臼齒,
gu5 ienn5,gû-iêⁿ,牛羊,牛羊,
gu5 kak,gû-kak,牛角,牛角,
gu5 ng5,gû-n̂g,牛黃,牛黃,
gu5 ninn6 iu5,gû-nĩⁿ-iû,牛乳油,黃油,
gu5 ninn6 kuan3,gû-nĩⁿ-kuàn,牛乳罐,牛奶罐,
gu5 phue5,gû-phûe,牛皮,牛皮,
gu5 sai2,gû-sái,牛屎,牛屎,
gu5 tann uan,gû-taⁿ-uan,牛擔彎,牛軛,
gua7 ke,guā-ke,外家,娘家,
gua7 kok nang5,guā-kok-nâng,外國儂,外國人,
gua7 kok nang5,guā-kok-nâng,外國人,外國人,
gua7 kong,guā-kong,外公,外公,
gua7 mann2,guā-máⁿ,外媽,外婆,
gua7 seng,guā-seng,外甥,外甥,
gua7 seng nng2,guā-seng-nńg,外甥女,外甥女,
gua7 sun,guā-sun,外孫,外孫,
gua7 tsau2 sun,guā-tsáu-sun,外走孫,外孫女,
gueh8 gueh8,gu̍eh-gu̍eh,月月,每月,
gueh8 ki3,gu̍eh-kì,月記,月季,
gueh8 kiann2,gu̍eh-kiáⁿ,月囝,重利,
gueh8 sih8,gu̍eh si̍h,月蝕,月食,
gur7 eng7,gṳ̄-ēng,御用,,
hah8 bua5,ha̍h-buâ,合埋,合入,
hah8 kng2,ha̍h-kńg,合卺,,
hah8 peng6,ha̍h-pẽng,合併,,
hai2 eng2,hái-éng,海湧,,
hai2 eng2,hái-éng,海涌,,
hai2 eng2,hái-éng,海湧,海浪,
hai2 huang tie5,hái-huang-tiê,海風潮,洪水,
hai2 kinn5,hái-kîⁿ,海墘,,
hai2 kinn5,hái-kîⁿ,海墘,海邊,
hai2 sur6,hái-sṳ̃,海嶼,島嶼,
hai2 the7,hái-thē,海蜇,,
hai2 tou5,hái-tôu,海圖,海圖,
hai2 tshat8,hái-tsha̍t,海賊,海賊,
hai2 zong5,hái-zông,海茸,海綿,
hai7 i6,hāi-ĩ,駭異,駭異,
hai7 lo7,hāi--lō,害了,害了,
hak8 seng,ha̍k-seng,學生,學生,
hak8 sip8,ha̍k-si̍p,學習,學習,
ham2 tiou3,hám-tiòu,撼掉,扔掉,
ham5 lam2 sut8,hâm-lám-su̍t,銜瓏術,陀螺,
han2 tit,hán-tit,罕得,很少,
han5 su2 tsam,hân-sú-tsam,寒暑針,溫度計,
hang ku,hang-ku,魴龜,海龜,
hang5 chheng5,hâng-chhêng,行情,行情,
hang5 hok8,hâng-ho̍k,降服,降服,
hang7 kiann2,hāng-kiáⁿ,巷囝,巷字,
hann2 hun,háⁿ-hun,黃昏,黃昏,
hap8 ieh,ha̍p-ieh,合約,合約,
hap8 tang2,ha̍p-táng,合約,合約,
hap8 tang5,ha̍p-tâng,合同,合同,
hau5 khak sinn5,hâu-khak-sîⁿ,鱟殼扇,鱟殼扇,
hau6 senn,hãu-seⁿ,後生,,
hau6 senn,hãu-seⁿ,後生,年輕,
hau7 peh chheh,hāu-peh-chheh,鱟伯策,百葉窗,
haunn3 hehnn8 kai5 nang5,hàuⁿ-he̍hⁿ--kâi-nâng,好赫嘅儂,花花公子,
haunn3 hehnn8 kai5 nang5,hàuⁿ-he̍hⁿ--kâi-nâng,好赫嘅人,花花公子,
he5 bi2,hê-bí,蝦米,蝦米,
he6 hue3,hẽ-hùe,下貨,下貨,
he6 nguan6,hẽ-nguãn,許願,,
he6 nguan7,hẽ-nguān,許願,許願,
he7 chi3,hē-chì,夏至,夏至,
heh kiann,heh-kiaⁿ,嚇驚,驚嚇,
hehnn che7 kie3,hehⁿ--chē-kiè,嚇一下叫,嚇一跳,
hek suan5 huang,hek-suân-huang,黑旋風,,
hek8,he̍k,乏,疲勞,
heng seng6,heng-sẽng,興盛,興盛,
heng uang6,heng-uãng,興旺,興旺,
heng5 li2,hêng-lí,行李,行李,
heng6 chi2,hẽng-chí,行止,品德,
heng6 tsai lak8 hua6,hẽng-tsai-la̍k-huã,幸災樂禍,,
heng6 tshun5,hẽng-tshûn,倖存,,
hi3 khek,hì-khek,戲曲,,
hi3 penn5,hì-pêⁿ,戲棚,戲棚,
hi3 thai5,hì-thâi,戲台,,
hi3 tuann3,hì-tuàⁿ,戲旦,戲旦,
hi6 thong2,hĩ-thóng,系統,,
hia hun3,hia-hùn,靴楦,,
hiah tiam7,hiah-tiām,歇恬,停歇,
hiah8 mng5 sin5,hia̍h-mn̂g-sîn,額門神,額頭,
hiah8 sin3,hia̍h-sìn,額囟,囟門,
hiah8 thau5,hia̍h-thâu,額頭,前額,
hiak tieh8 su2,hiak-tie̍h-sú,暍着暑,中暑,
hiam chie,hiam-chie,薟椒,辣椒,
hiam2 hiam2,hiám-hiám,險險,險險,
hiang3 kuan,hiàng-kuan,餉關,海關,
hiang3 nienn5,hiàng-niêⁿ,餉粮,餉粮,
hiang3 pai5,hiàng-pâi,餉牌,餉牌,
hiang3 uang2,hiàng-uáng,嚮往,,
hiann thai5,hiaⁿ-thâi,兄台,,
hiann ti6,hiaⁿ-tĩ,兄弟,兄弟,
hiann ti6 kiann2,hiaⁿ-tĩ-kiáⁿ,兄弟囝,兄弟,
hiann5 hue2,hiâⁿ-húe,煆火,燒火,
hiann5 hue2 kai5 nang5,hiâⁿ-húe--kâi-nâng,燃火嘅儂,司爐,
hiann5 hue2 kai5 nang5,hiâⁿ-húe--kâi-nâng,燃火嘅人,司爐,
hiann5 hue2 sit8,hiâⁿ-húe-si̍t,燃火食,燒火做飯,
hiann5 thou5 thuann3,hiâⁿ-thôu-thuàⁿ,燃塗炭,燒炭,
hiann5 tsha5,hiâⁿ-tshâ,燃柴,燒柴,
hiap8 tiap8,hia̍p-tia̍p,葉鍱,鉸鏈,
hiau heng6,hiau-hẽng,僥倖,,
hien2 muinn5 kiann3,hién-mûiⁿ-kiàⁿ,顯微鏡,顯微鏡,
hien7 chinn5,hiēn-chîⁿ,現錢,現金,
hienn e6 nang5,hieⁿ-ẽ-nâng,鄉下儂,鄉下人,
hienn e6 nang5,hieⁿ-ẽ-nâng,鄉下人,鄉下人,
hienn kou,hieⁿ-kou,香菰,蘑菇,
hienn li2,hieⁿ-lí,鄉里,鄉村,
hienn li2,hieⁿ-lí,鄕里,鄉村,
hienn liou7,hieⁿ-liōu,香料,香料,
hienn lou,hieⁿ-lou,香爐,香爐,
hienn3 senn,hièⁿ-seⁿ,彼樣生,那樣,
hiet kiann2,hiet-kiáⁿ,蝎囝,蝎子,
hin5 tsun5,hîn-tsûn,眩船,暈船,
hin7 tsai6,hīn-tsãi,現在,現在,
hinn3 tiou3,hìⁿ-tiòu,搖掉,搖掉,
hinn5 suann3,hîⁿ-suàⁿ,弦線,弦,
hinn6 huann5,hĩⁿ-huâⁿ,耳環,耳環,
hinn6 kau,hĩⁿ-kau,耳鈎,耳環,
hinn6 khang,hĩⁿ-khang,耳空,耳孔,
hinn6 lang5,hĩⁿ--lâng,耳聾,耳聾,
hiok tak8 hu,hiok ta̍k-hu,郁達夫,,
hiong ak,hiong-ak,凶惡,,
hiong chhiu2,hiong-chhiú,兇手,,
hionn tsha5,hioⁿ-tshâ,香柴,檀香木,
hiou sim,hiou-sim,僥心,壞心腸,
hiou2 chheng5 li2,hióu-chhêng-lí,曉情理,通情達理,
hip,hip,熻,燜,
hip si2,hip-sí,翕死,悶死,
hiunn5,hiûⁿ,裘,襖,
hng lah8 bo2 heh,hng-la̍h-bó-heh,荒拉無歇,混亂不堪,
hng tshan,hng-tshan,哼謒,呻吟,
hng5 li5,hn̂g-lî,園籬,園籬,
ho2 ke3,hó-kè,好價,好價錢,
ho2 kue3,hó--kùe,好過,好過,
ho2 lo7,hó--lō,好了,好了,
ho2 si6 si6,hó-sĩ-sĩ,好是是,突然,
ho2 sim,hó-sim,好心,好心,
ho2 than3,hó-thàn,好趁,好賺,
ho2 thoinn2,hó-thóiⁿ,好睇,好看,
ho2 thoinn2,hó-thóiⁿ,好看,好看,
ho5 lan tau7,hô-lan-tāu,荷蘭豆,豌豆,
ho5 lan tsur5,hô-lan-tsṳ̂,荷蘭薯,土豆,
ho5 pau,hô-pau,荷包,荷包,
ho7 thau5,hō-thâu,號頭,號頭,
hoh,hoh,熇,蒸,
hoh siou2 iann2,hoh-sióu-iáⁿ,翕小影,攝影,
hok khi3,hok-khì,福氣,福氣,
hok tsap8,hok-tsa̍p,複雜,,
hok8 chhiu5,ho̍k-chhiû,復仇,,
hok8 khoinn3,ho̍k-khòiⁿ,覆蓋,,
hok8 phek,ho̍k-phek,復辟,,
hok8 sek,ho̍k-sek,服色,服色,
hok8 tng2,ho̍k-tńg,復轉,恢復,
hong hiam2,hong-hiám,荒險,危險,
hong hiam2,hong-hiám,風險,風險,
hong seng6,hong-sẽng,豐盛,,
hong siann,hong-siaⁿ,風聲,風聲,
hong sok8,hong-so̍k,風俗,風俗,
hong thang5 tua7 chhie3,hong-thâng-tuā-chhiè,哄堂大笑,,
hong tshai2,hong-tshái,丰采,,
hong2 lok8,hóng-lo̍k,俸祿,俸祿,
hong2 phien3,hóng-phièn,哄騙,,
hong3 chhienn2,hòng-chhiéⁿ,哄搶,,
hong3 tshng3,hòng-tshǹg,諷刺,,
hong5 ka3,hông-kà,奉教,奉教,
hong6 iang2,hõng-iáng,奉養,奉養,
hou5 chhiu,hôu-chhiu,鬍鬚,,
hou5 chie,hôu-chie,胡椒,,
hou5 chie,hôu-chie,胡椒,胡椒,
hou5 khi5,hôu-khî,蜈蜞,水蛭,
hou5 sin5,hôu-sîn,蝴蠅,蒼蠅,
hou5 sin5 sai2 ki3,hôu-sîn-sái-kì,侯蠅屎痣,蒼蠅屎痣,
hou6 kiann2,hõu-kiáⁿ,雨囝,雨點,
hou6 lai5,hõu-lâi,狐狸,狐狸,
hou6 lou7 kurn tiam,hõu-lōu-kṳn-tiam,雨露均霑,,
hou6 suann3,hõu-suàⁿ,雨傘,雨傘,
hounn2 lo5,hóuⁿ-lô,虎牢,虎牢,
hu jin5,hu-jîn,夫人,夫人,
hu zu6,hu-zũ,呼籲,,
hu2 thai3 ia5,hú-thài-iâ,府太爺,府太爺,
hu2 tieh8,hú--tie̍h,捬着,沾到,
hu3 thoh,hù-thoh,付托,委託,
hu5 sueh,hû-sueh,胡說,,
hu5 thong5,hû-thông,衚衕,,
hu5 thu5,hû-thû,糊塗,,
hua5 ieh,huâ-ieh,和約,和約,
hua5 sng3,huâ-sǹg,划算,,
huah hi3,huah-hì,呵欠,哈欠,
huam6 jin5,huãm-jîn,犯人,犯人,
huam6 lut8,huãm-lu̍t,犯律,犯法,
huam6 tong6 im,huãm tõng-im,范仲淹,,
huam6 tsue6,huãm-tsũe,犯罪,犯罪,
huan ek8,huan-e̍k,翻譯,翻譯,
huan kang2,huan-káng,番梘,肥皂,
huan kuah,huan-kuah,番葛,番薯,
huan kue,huan-kue,番瓜,南瓜,
huan lai5,huan-lâi,番梨,鳳梨,
huan nang5,huan-nâng,番儂,野蠻人,
huan nang5,huan-nâng,番人,野蠻人,
huan poinn5,huan-pôiⁿ,番爿,外國,
huan poinn5,huan-pôiⁿ,番畔,外國,
huan pou3,huan-pòu,番布,番布,
huan tsur5,huan-tsṳ̂,番薯,番薯,
huan2 hok8,huán-ho̍k,反覆,,
huan2 siang5,huán-siâng,反常,,
huan2 tng2,huán-tńg,反轉,反轉,
huan2 tng2,huán-tńg,返轉,返回,
huan5 liou2,huân-lióu,還了,還了,
huan5 lo2,huân-ló,煩惱,擔心,
huang hiang3,huang-hiàng,方向,,
huang hou7 tsam,huang-hōu-tsam,風雨針,晴雨表,
huang khim5,huang-khîm,風禽,風箏,
huang lou5,huang-lôu,風爐,火爐,
huang phue5,huang-phûe,封皮,信封,
huang sinn6,huang-sĩⁿ,風扇,風扇,
huang tang5,huang-tâng,封筒,信筒,
huang thai,huang-thai,風颱,,
huang thai,huang-thai,風颱,颱風,
huang thiann3,huang-thiàⁿ,瘋痛,風濕,
huang tin5 pok8 pok8,huang-tîn-po̍k-po̍k,風塵僕僕,,
huang tsui2,huang-tsúi,風水,風水,
huang2 hut,huáng-hut,彷彿,,
huang2 sur6,huáng-sṳ̃,仿似,仿似,
huang2 sur6,huáng-sṳ̃,彷似,彷似,
huang3 sur3,huàng-sṳ̀,放肆,放肆,
huang5 hou6,huâng-hõu,皇后,,
huang5 ti3,huâng-tì,皇帝,皇帝,
huann hi2,huaⁿ-hí,歡喜,高興,
huann5,huâⁿ,喘氣,喘氣,
huat heng5,huat-hêng,髮型,,
huat hin7,huat-hīn,發現,,
huat lut8,huat-lu̍t,法律,法律,
huat sie,huat-sie,發燒,發燒,
huat8 ngurn5,hua̍t-ngṳ̂n,罰銀,罰錢,
hue hng5,hue-hn̂g,花園,花園,
hue hue6,hue-hũe,花會,花會,
hue kan,hue-kan,花干,花瓶,
hue lou7 tsui2,hue-lōu-tsúi,花露水,花露水,
hue lui2,hue-lúi,花蕊,花蕊,
hue nienn5,hue-niêⁿ,花娘,妓女,
hue niounn,hue-niouⁿ,花貓,花貓,
hue oi5,hue-ôi,花鞋,花鞋,
hue pou3,hue-pòu,花布,印花棉布,
hue thou5,hue-thôu,灰塗,灰漿,
hue tiann5,hue-tiâⁿ,灰埕,水泥地,
hue tshui3,hue-tshùi,花喙,花言巧語,
hue tshui3,hue-tshùi,花嘴,花言巧語,
hue tuann3,hue-tuàⁿ,花旦,,
hue2 chhia,húe-chhia,火車,火車,
hue2 chiah8,húe-chia̍h,伙食,,
hue2 chieh8,húe-chie̍h,火石,打火石,
hue2 chih8,húe-chi̍h,火舌,火舌,
hue2 hu,húe-hu,火灰,灰燼,
hue2 hun tang5,húe-hun-tâng,火薰筒,煙囪,
hue2 iam7,húe-iām,火炎,火炎,
hue2 ieh8,húe-ie̍h,火藥,火藥,
hue2 ki3,húe-kì,夥計,夥計,
hue2 koi,húe-koi,火雞,火雞,
hue2 lou5,húe-lôu,火爐,火爐,
hue2 nann7,húe-nāⁿ,火爁,火炬,
hue2 pai5,húe-pâi,火牌,火柴,
hue2 phuann6,húe-phuãⁿ,夥伴,,
hue2 sit8 pang5,húe-si̍t-pâng,伙食房,廚房,
hue2 suann,húe-suaⁿ,火山,火山,
hue2 suh8,húe-su̍h,火箭,火箭,
hue2 thau5,húe-thâu,火頭,火頭,
hue2 thau5,húe-thâu,伙頭,廚師,
hue2 thau5,húe-thâu,火頭,廚師,
hue2 thuann3,húe-thuàⁿ,火炭,火炭,
hue2 thui2,húe-thúi,火腿,火腿,
hue2 thun5,húe-thûn,火燂,火燂,
hue2 tienn2,húe-tiéⁿ,伙長,船長,
hue2 tienn2,húe-tiéⁿ,火長,火長,
hue2 tsha5,húe-tshâ,火柴,柴火,
hue2 tsun5,húe-tsûn,火船,汽船,
hue2 tsun5 kiann2,húe-tsûn-kiáⁿ,火船囝,汽艇,
hue3 tuann,hùe-tuaⁿ,貨單,發票,
hue5 ke,hûe-ke,回家,回家,
hue5 phoi,hûe-phoi,回批,回信,
hue5 sienn3,hûe-sièⁿ,和尙,和尙,
hue5 sin3,hûe-sìn,回信,回信,
hue5 thau5,hûe-thâu,回頭,,
hue5 thau5,hûe-thâu,囘頭,,
hue5 tng2,hûe-tńg,迴轉,,
hue5 ue7,hûe-ūe,回話,口譯,
hue6 khuan2,hũe-khuán,匯款,,
hue6 min7,hũe-mīn,會面,見面,
hueh mehnn8,hueh-me̍hⁿ,血脈,血管,
huenn5 ui5,hûeⁿ-ûi,橫桅,橫桅,
huh che7 kie3,huh--chē-kiè,忽一下叫,突然,
hui lin3 tng2,hui-lìn-tńg,回輪轉,回來,
hui tng2 lai5,hui-tńg--lâi,回轉來,回來,
hui2 tiou3,húi-tiòu,滅掉,滅掉,
hui3 tiou3,hùi-tiòu,廢掉,廢掉,
hun meng5,hun-mêng,分明,分明,
hun piet8,hun-pie̍t,分別,,
hun piet8,hun-pie̍t,分別,分別,
hun sai2,hun-sái,薰屎,薰屎,
hun tang5,hun-tâng,薰筒,煙囪,
hun2 chiou2,hún-chióu,粉鳥,鴿子,
hun5 hou6,hûn-hõu,雲雨,,
hur2 chuann3 kai5,hṳ́-chuàⁿ-kâi,彼些个,那些個,
hur2 tiang si5,hṳ́-tiang-sî,彼底當時,那時,
hur5 chhi,hṳ̂-chhi,魚腮,魚腮,
hur5 chhi3,hṳ̂-chhì,魚刺,,
hur5 chi2,hṳ̂-chí,魚子,魚子,
hur5 ji7,hṳ̂-jī,魚餌,魚餌,
hur5 ka,hṳ̂-ka,魚膠,魚膠,
hur5 kainn2,hṳ̂-káiⁿ,魚囝,魚子,
hur5 koi5,hṳ̂-kôi,魚鮭,魚鮭,
hur5 kuann,hṳ̂-kuaⁿ,魚干,魚干,
hur5 lan5,hṳ̂-lân,魚鱗,魚鱗,
hur5 nng6,hṳ̂-nñg,魚卵,魚卵,
hur5 phie6,hṳ̂-phiẽ,魚膘,魚膘,
hur5 pou2,hṳ̂-póu,魚脯,魚脯,
hur5 sit8,hṳ̂-si̍t,魚翼,魚翅,
hur5 tou6,hṳ̂-tõu,魚肚,魚肚,
hur5 tshun,hṳ̂-tshun,魚春,魚卵,
hut8 ka3,hu̍t-kà,佛家,佛家,
hut8 keng,hu̍t-keng,佛經,,
hut8 tsou2,hu̍t-tsóu,佛祖,佛祖,
i kai5,i--kâi,伊个,,
i nang5,i-nâng,伊儂,他們;她們,
i nang5,i-nâng,伊人,他們;她們,
i nguan5,i-nguân,依原,依舊,
i pai2,i-pái,衣襬,,
i3 sur7,ì-sṳ̄,意思,意思,
i5 tienn6,î-tiẽⁿ,姨丈,姨丈,
ia2 ienn7,iá-iēⁿ,野樣,醜陋,
ia5 sou,iâ-sou,耶穌,耶穌,
ia5 sou ka3,iâ-sou-kà,耶穌教,耶穌教,
ia7 cheng2,iā-chéng,播種,播種,
iah8 chhiu2,ia̍h-chhiú,曳手,招手,
iak liang6,iak-liãng,約量,大約,
iam koi,iam-koi,醃雞,醃雞,
iam2 siou,iám-siou,鹽硝,鹽硝,
iam5 tih8,iâm-ti̍h,鹽碟,鹽碟,
iang,iang,蔫,(肉)變質,
iang2 iok8,iáng-io̍k,養育,養育,
iang2 kiann2,iáng-kiáⁿ,養囝,養子,
iang3 mak8,iàng-ma̍k,映目,眩目,
iang5 chhia hue2 tsun5,iâng-chhia húe-tsûn,陽車火船,明輪船,
iann5 kue3,iâⁿ-kùe,贏過,贏過,
iann5 lau6 ia5,iâⁿ-lãu-iâ,迎老爺,,
iann5 lau6 ia5,iâⁿ-lãu-iâ,迎老爺,迎老爺,
iann5 puann5,iâⁿ-puâⁿ,營盤,營地,
iau,iau,枵,飢餓,
iau3 tshong,iàu-tshong,要衝,,
ie chiah kut,ie-chiah-kut,腰脊骨,脊骨,
ie ku,ie-ku,腰龜,駝背,
ie ku,ie-ku,腰佝,駝背,
ie ku,ie-ku,腰痀,駝背,
ie kut,ie-kut,腰骨,脊骨,
ie2 tiou7 tsui2,ié-tiōu-tsúi,舀掉水,舀掉水,
ie5 ie5 iok8 tui6,iê-iê-io̍k-tũi,搖搖欲墜,,
ie5 kou2,iê-kóu,搖鼓,搖鼓,
ie5 nann5,iê-nâⁿ,搖籃,搖籃,
ie6 cheng,iẽ-cheng,搖鐘,搖鐘,
ieh ji7,ieh-jī,約字,合同,
ieh8 buah8,ie̍h-bua̍h,藥末,藥末,
ieh8 hng,ie̍h-hng,藥方,藥方,
ieh8 hun2,ie̍h-hún,藥粉,藥粉,
ieh8 inn2,ie̍h-íⁿ,藥丸,藥丸,
ieh8 kui2,ie̍h-kúi,藥機,引擎,
ieh8 kurn,ie̍h-kṳn,藥根,藥根,
ieh8 tuann,ie̍h-tuaⁿ,藥單,藥單,
ien3 o,ièn-o,燕窩,燕窩,
ien3 tshai3,ièn-tshài,燕菜,海藻,
ienn5 bue5,iêⁿ-bûe,楊梅,楊梅,
ienn5 monn5,iêⁿ-môⁿ,羊毛,羊毛,
ienn5 to5,iêⁿ-tô,楊桃,楊桃,
ienn5 tsun5,iêⁿ-tsûn,洋船,洋船,
im5 sur7,îm-sṳ̄,淫事,淫事,
in au5,in-âu,咽喉,,
in chi,in-chi,胭脂,胭脂,
in ke3,in-kè,鷹架,腳手架,
in ninn5,in-nîⁿ,胭泥,胭脂,
in po hau miau2,in-po-hau-miáu,煙波浩淼,,
in tang5,in-tâng,煙筒,煙囪,
in teng5,in-têng,煙塵,,
in ui5,in-ûi,因爲,因爲,
in2 chin3,ín-chìn,引荐,推薦,
in2 iu2,ín-iú,引誘,引誘,
in3 poinn2,ìn-póiⁿ,印板,印板,
in3 sek,ìn-sek,印色,印色,
in3 seng5,ìn-sêng,應承,承諾,
in5 chi2,în-chí,鉛子,鉛子,
in5 pit,în-pit,鉛筆,鉛筆,
inn2 kiann2,íⁿ-kiáⁿ,椅囝,椅子,
inn2 thau5,íⁿ-thâu,椅頭,高凳,
inn3 chiou2,ìⁿ-chióu,燕鳥,燕鳥,
inn5 chiu,îⁿ-chiu,圓周,,
inn5 tshng5,îⁿ-tshn̂g,圓床,圓桌,
inn5 tshng5,îⁿ-tshn̂g,圓牀,圓桌,
iok8 mo7,io̍k-mō,慾望,,
iong2 chiang3,ióng-chiàng,勇將,勇將,
iong3 hin7,iòng-hīn,湧現,,
iong3 hin7,iòng-hīn,涌現,,
iong3 tai3,iòng-tài,擁戴,,
iong5 kim,iông-kim,佣金,,
iong5 nang5,iông-nâng,傭人,,
iong5 su3,iông-sù,容訴,容訴,
iou2 ho2,ióu-hó,稍好,稍好,
iou5 ngan5,iôu-ngân,謠言,謠言,
ip tsa6,ip-tsã,揖早,作揖,
it ho2,it-hó,一好,第一好,
it tit,it-tit,憶得,記得,
iu5 hi3,iû-hì,遊戲,,
iu5 iong3,iû-iòng,游泳,,
iu5 kurn5 kurn5,iû-kṳ̂n-kṳ̂n,油凝凝,,
iu5 sueh,iû-sueh,油刷,漆刷,
iu5 tang6,iû-tãng,遊蕩,,
iu5 tsua2,iû-tsuá,油紙,油紙,
iunn3 bi2,iùⁿ-bí,苡米,薏米,
iunn3 iunn3,iùⁿ-iùⁿ,幼幼,幼小,
iăp iap8 sih,iăp-ia̍p-sih,灼灼晃,亮閃閃,
ji5 peh8,jî-pe̍h,字白,字白,
ji5 sai3,jî-sài,兒婿,兒婿,
ji7 bo2,jī-bó,字母,字母,
ji7 chhiu2,jī-chhiú,二手,助理,
ji7 gueh8,jī--gu̍eh,二月,二月,
ji7 ho7,jī-hō,字號,商標,
ji7 hue2,jī-húe,二伙,二副,
ji7 ke,jī-ke,二家,兩人,
ji7 kenn,jī-keⁿ,二更,二更,
ji7 nang5,jī-nâng,二儂,二奶,
ji7 nang5,jī-nâng,二人,二奶,
ji7 poinn2,jī-póiⁿ,字板,字板,
ji7 tien2,jī-tién,字典,字典,
jiang2,jiáng,嚷,叫喊,
jiang2,jiáng,讓,叫喊,
jie7 hu5,jiē-hû,尿壺,尿壺,
jie7 pha,jiē-pha,尿脬,膀胱,
jieh8 tsoi7,jie̍h-tsōi,若㩼,多少,
jim6 i3,jĩm-ì,任意,任意,
jin5 siam,jîn-siam,人參,,
jin5 siam,jîn-siam,人參,人參,
jin5 tshur5,jîn-tshṳ̂,仁慈,仁慈,
jin7 tsho3,jīn-tshò,認錯,認錯,
jin7 tshut,jīn-tshut,認出,認出,
jin7 tsue6,jīn-tsũe,認罪,認罪,
jiou3 se,jiòu-se,皺紗,皺紗,
jip8 hue6,ji̍p-hũe,入會,入會,
jip8 ka3,ji̍p-kà,入教,入教,
jip8 khau2 hue3,ji̍p-kháu-hùe,入口貨,進口商品,
jip8 lai2,ji̍p--lái,入來,進來,
jip8 pin2,ji̍p-pín,入禀,入禀,
jip8 siu3 tsai5,ji̍p-siù-tsâi,入秀才,入秀才,
jip8 tiann5,ji̍p-tiâⁿ,入呈,入呈,
jit8 chheng,ji̍t-chheng,日清,日記本,
jit8 chheng,ji̍t-chheng,日淸,日記本,
jit8 chi2,ji̍t-chí,日子,日期,
jit8 jit8,ji̍t-ji̍t,日日,天天,
jit8 kua3,ji̍t-kuà,日旰,白天,
jit8 kua3,ji̍t--kuà,日間,日間,
jit8 kui,ji̍t-kui,日規,日規,
jit8 sih8,ji̍t si̍h,日蝕,日食,
jit8 tau3,ji̍t-tàu,日晝,中午,
jit8 tok8,ji̍t-to̍k,日逐,日逐,
ka chiah,ka-chiah,尻脊,,
ka chiah,ka-chiah,尻脊,脊背,
ka ki7,ka-kī,家己,,
ka ki7,ka-kī,家己,自己,
ka ki7 nang5,ka-kī-nâng,家己儂,自己人,
ka ki7 nang5,ka-kī-nâng,家己人,自己人,
ka lauh8,ka-la̍uh,交落,掉落,
ka li5,ka-lî,咖喱,咖喱,
ka li5,ka-lî,膠離,咖喱,
ka li5 buah8,ka-lî-bua̍h,咖喱末,咖喱末,
ka pou3,ka-pòu,鉸布,剪布,
ka pua3,ka-puà,膠𤿤,棉布,
ka sann khou3,ka-saⁿ-khòu,鉸衫褲,剪衣服,
ka sau3,ka-sàu,咬嗽,咳嗽,
ka to,ka-to,鉸刀,剪刀,
ka tsau2,ka-tsáu,虼蚤,跳蚤,
ka tsuah8,ka-tsua̍h,虼蚻,蟑螂,
ka2 thiann3,ká-thiàⁿ,㽱痛,絞痛,
ka3 oi6 sek8,kà-õi-se̍k,教會熟,容易教,
ka7 ka7 kie3,kā-kā-kiè,咳咳叫,咳咳叫,
kah kiann2,kah-kiáⁿ,袷囝,馬甲,
kai3 luah8,kài-lua̍h,芥辣,,
kai3 luah8,kài-lua̍h,芥辣,芥末,
kak kue,kak-kue,角瓜,絲瓜,
kak nang5,kak-nâng,各儂,各人,
kak nang5,kak-nâng,各人,各人,
